id,machine_name,device_type,device_label,vendor,cpu_model,gpu_model,os_name,os_version,driver_version,total_ram_gb,notes,created_at,gpu_category
9576ac27-a4ae-457b-8b6c-7e44c0703a0e,372951fbefe8,cuda,NVIDIA GeForce RTX 4090,nvidia,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4090,Linux,#149~20.04.1-Ubuntu SMP Wed Apr 16 08:29:56 UTC 2025,12.1,62.55,,2026-09-12 11:52:28.604806+00,discrete
9ab0fac5-67d0-4f80-af87-46d3fe2d8858,artur-PC,cpu,CPU,,AMD Ryzen 7 5700X3D 8-Core Processor,,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,,30.26,,2026-09-01 19:30:40.875768+00,
9d25e756-1d19-4ac5-b235-29fc900e0f15,ola,cpu,CPU,,AMD Ryzen 7 5800HS with Radeon Graphics,,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,,14.52,,2026-09-01 13:13:27.476525+00,
aafeb2cb-08a3-42d2-8a10-215dec87eb50,08fb866cd629,cuda,NVIDIA GeForce RTX 2070,nvidia,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,NVIDIA GeForce RTX 2070,Linux,#195-Ubuntu SMP Fri Jun 19 17:11:50 UTC 2026,12.1,31.27,,2026-09-12 11:57:20.990643+00,discrete
b09133c7-cd71-4325-93b2-ce2fb0b9d2c7,proksza-legion-slim5,cpu,CPU,,AMD Ryzen 7 7840HS with Radeon 780M Graphics,,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,,30.04,,2026-08-28 21:47:14.379553+00,
b549c125-f311-4d9b-84de-49fb420e4758,kamila-galaxybook2pro,intel_gpu_openvino,Intel(R) Iris(R) Xe Graphics (iGPU),intel,12th Gen Intel(R) Core(TM) i7-1260P,Intel(R) Iris(R) Xe Graphics (iGPU),Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,2026.3.0-22451-8a17657b995-releases/2026/3,14.73,,2026-08-27 18:47:21.479418+00,integrated
b5db1b3e-3944-4d93-bfb4-c5b9065e30ed,20263a30636f,cuda,NVIDIA GeForce RTX 3080,nvidia,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,NVIDIA GeForce RTX 3080,Linux,#139-Ubuntu SMP PREEMPT_DYNAMIC Sat Aug  1 03:52:05 UTC 2026,12.1,141.51,,2026-09-12 12:13:10.434677+00,discrete
b6018111-a0cf-43df-b0ba-da673ff9757b,artur-MS-7B86,intel_gpu_openvino,Intel(R) Arc(TM) Graphics (iGPU),intel,Intel(R) Core(TM) Ultra 7 155H,Intel(R) Arc(TM) Graphics (iGPU),Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,2026.3.0-22451-8a17657b995-releases/2026/3,14.64,,2026-08-20 11:14:11.89554+00,integrated
b6188ef9-c186-46f5-91b6-8d52e3d26044,proksza-legion-slim5,amd_igpu,AMD Radeon 780M Graphics,amd,AMD Ryzen 7 7840HS with Radeon 780M Graphics,AMD Radeon 780M Graphics,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,7.15.26333,30.04,,2026-09-03 15:18:08.387869+00,integrated
c57d8bdf-40c9-436f-93d7-7f73eebd54d2,2acddc32fc6e,cuda,NVIDIA GeForce RTX 5080,nvidia,AMD Ryzen 9 9900X 12-Core Processor,NVIDIA GeForce RTX 5080,Linux,#124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC ,12.8,60.44,,2026-09-12 12:04:14.746197+00,discrete
d504bfe6-a358-43f6-8c01-6c324781ad02,artur-MS-7B86,cpu,CPU,,Intel(R) Core(TM) Ultra 7 155H,,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,,14.64,,2026-08-20 18:55:20.334417+00,
e1973269-f2b8-4d7e-9202-f9afe967e0a9,d57a30f15f66,cuda,NVIDIA GeForce RTX 3060,nvidia,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,NVIDIA GeForce RTX 3060,Linux,#124-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 13:00:45 UTC 2026,12.1,62.7,,2026-09-12 11:54:26.854031+00,discrete
